id,title,brand,category,retailer,price_low_usd,price_high_usd,availability,asin,orlaloom_url
fungi-fun-mushroom-butter-dish-with-lid,Fungi Fun Mushroom Butter Dish with Lid,Fungi Fun,Butter Dishes,Amazon,25,30,in_stock,B0CPM8Y9LQ,https://orlaloom.com/shop/fungi-fun-mushroom-butter-dish-with-lid
the-original-butter-bell-crock,The Original Butter Bell Crock,L. Tremain,Butter Dishes,Amazon,30,36,in_stock,B01BLXFK7C,https://orlaloom.com/shop/the-original-butter-bell-crock
le-creuset-stoneware-butter-crock,Le Creuset Stoneware Butter Crock,Le Creuset,Butter Dishes,Amazon,30,40,in_stock,B000RGWQ54,https://orlaloom.com/shop/le-creuset-stoneware-butter-crock
mosser-jadeite-glass-butter-tub,Mosser Jadeite Glass Butter Tub,Mosser Glass,Butter Dishes,Everything Kitchens,35,45,in_stock,,https://orlaloom.com/shop/mosser-jadeite-glass-butter-tub
old-havana-butter-dish,Old Havana Butter Dish,Anthropologie,Butter Dishes,Anthropologie,34,,in_stock,,https://orlaloom.com/shop/old-havana-butter-dish
red-toadstool-mushroom-butter-dish,Red Toadstool Mushroom Butter Dish,Ceramic novelty,Butter Dishes,Amazon,22,28,in_stock,B0BWDVL76C,https://orlaloom.com/shop/red-toadstool-mushroom-butter-dish
scalloped-edge-stoneware-butter-dish,Scalloped-Edge Stoneware Butter Dish,Independent potters,Butter Dishes,Amazon,30,55,in_stock,B0G47LKMJV,https://orlaloom.com/shop/scalloped-edge-stoneware-butter-dish
sweese-porcelain-butter-dish-with-lid,Sweese Porcelain Butter Dish with Lid,Sweese,Butter Dishes,Amazon,23,,in_stock,B07H2H28KN,https://orlaloom.com/shop/sweese-porcelain-butter-dish-with-lid
emile-henry-french-butter-pot,Emile Henry French Butter Pot,Emile Henry,Butter Dishes,Amazon,40,45,in_stock,B00WRIIAGE,https://orlaloom.com/shop/emile-henry-french-butter-pot
mason-cash-english-stoneware-butter-dish,Mason Cash English Stoneware Butter Dish,Mason Cash,Butter Dishes,Amazon,30,40,in_stock,B0DVLMXYKP,https://orlaloom.com/shop/mason-cash-english-stoneware-butter-dish
anchor-hocking-glass-butter-dish,Anchor Hocking Glass Butter Dish,Anchor Hocking,Butter Dishes,Amazon,15,20,in_stock,B00O2EDJ4Y,https://orlaloom.com/shop/anchor-hocking-glass-butter-dish
udderly-buttery-cow-butter-dish,Udderly Buttery Cow Butter Dish,BigMouth Inc.,Butter Dishes,Amazon,20,,in_stock,B0CJML8LWR,https://orlaloom.com/shop/udderly-buttery-cow-butter-dish
amber-ribbed-glassware-set-set-of-6-16-oz,"Amber Ribbed Glassware Set (Set of 6, 16 oz)",Vintage-style ribbed glass,Glassware,Amazon,32,38,in_stock,B0F4X933SS,https://orlaloom.com/shop/amber-ribbed-glassware-set-set-of-6-16-oz
qipecedm-ribbed-highball-glasses-set-of-6-16-oz,"Qipecedm Ribbed Highball Glasses (Set of 6, 16 oz)",Qipecedm,Glassware,Amazon,18,24,in_stock,B0BVBJJV1W,https://orlaloom.com/shop/qipecedm-ribbed-highball-glasses-set-of-6-16-oz
amber-glass-pitcher-with-lid-64-oz,Amber Glass Pitcher with Lid (64 oz),AEFPOYMXU,Glassware,Amazon,28,38,in_stock,B09YLRFRSY,https://orlaloom.com/shop/amber-glass-pitcher-with-lid-64-oz
estelle-coupe-amber-smoke,Estelle Coupe (Amber Smoke),Estelle Colored Glass,Glassware,Estelle,165,195,in_stock,,https://orlaloom.com/shop/estelle-coupe-amber-smoke
amber-black-tortoiseshell-tumblers-set-of-6,Amber & Black Tortoiseshell Tumblers (Set of 6),The Castle Crafts,Glassware,The Castle Crafts,40,60,in_stock,,https://orlaloom.com/shop/amber-black-tortoiseshell-tumblers-set-of-6
crock-pot-artisan-7-quart-round-enameled-cast-iron-dutch-oven-lavender-purple,"Crock-Pot Artisan 7-Quart Round Enameled Cast Iron Dutch Oven, Lavender Purple",Crock-Pot,Cottagecore Kitchen,Amazon,60,70,in_stock,B0B41F5CRJ,https://orlaloom.com/shop/crock-pot-artisan-7-quart-round-enameled-cast-iron-dutch-oven-lavender-purple
homaxy-100-cotton-waffle-weave-kitchen-dish-towels-eggplant-set-of-4,"Homaxy 100% Cotton Waffle Weave Kitchen Dish Towels, Eggplant, Set of 4",Homaxy,Cottagecore Kitchen,Amazon,15,20,in_stock,B0FCXWK7KZ,https://orlaloom.com/shop/homaxy-100-cotton-waffle-weave-kitchen-dish-towels-eggplant-set-of-4
jiemei-home-farmhouse-ceramic-utensil-crock-with-cork-mat-antique-purple,"JIEMEI HOME Farmhouse Ceramic Utensil Crock with Cork Mat, Antique Purple",JIEMEI HOME,Cottagecore Kitchen,Amazon,18,27,in_stock,B0FQ57R6ZP,https://orlaloom.com/shop/jiemei-home-farmhouse-ceramic-utensil-crock-with-cork-mat-antique-purple
